quant,sparsity,overlap_mean,overlap_min,random_floor
int8,0.3,0.9451738427343104,0.9323578554099484,0.7
int8,0.5,0.938493570616079,0.9245141495105832,0.5
int8,0.7,0.9302093995693306,0.9131080077533502,0.3
int8,0.9,0.9182331178753512,0.8936504810967303,0.1
nf4,0.3,0.8924751816370132,0.8699189064071422,0.7
nf4,0.5,0.8731833557749904,0.8410510129706804,0.5
nf4,0.7,0.8551976373165323,0.81776928222952,0.3
nf4,0.9,0.8313313067554886,0.7839055005038034,0.1
