method,sparsity,ppl,seconds
dense,0.0,7.216991568797079,32.1
random,0.1,10.644293253663628,37.0
random,0.2,19.718160127400303,37.8
random,0.3,50.29266041030869,45.9
random,0.4,214.561851090986,49.6
random,0.5,1797.8714969638474,53.4
random,0.6,26432.246436516332,57.2
random,0.7,148313.31085491503,61.2
random,0.8,536882.8187966772,65.2
random,0.9,810971.3140692458,69.4
oracle_gate,0.1,7.216609548594419,37.8
oracle_gate,0.2,7.219866762214024,38.5
oracle_gate,0.3,7.228819380852697,46.8
oracle_gate,0.4,7.257970357467832,50.5
oracle_gate,0.5,7.324215955458539,54.2
oracle_gate,0.6,7.477250442222425,58.1
oracle_gate,0.7,7.844401304268032,61.9
oracle_gate,0.8,8.817973802591062,65.9
