method,sparsity,ppl,seconds
dense,0.0,5.4720721871120634,34.0
oracle_gateonly,0.1,5.474887117679049,39.0
oracle_gateonly,0.2,5.492965689026323,39.9
oracle_gateonly,0.3,5.543472656471368,40.4
oracle_gateonly,0.4,5.662270086671522,50.0
oracle_gateonly,0.5,5.929580085527874,53.3
oracle_gateonly,0.6,6.513531164131174,56.7
oracle_gateonly,0.7,7.928651408702237,60.0
oracle_gateonly,0.8,nan,63.5
oracle_gateonly,0.9,141.06115837796312,67.0
