config,model,sparsity,ppl,seconds
qwen3-8b-bf16,Qwen/Qwen3-8B,0,9.7258,34.8
qwen3-8b-bf16,Qwen/Qwen3-8B,0.5,9.7808,56.9
qwen3-8b-bf16,Qwen/Qwen3-8B,0.6,9.8735,60.8
qwen3-8b-bf16,Qwen/Qwen3-8B,0.7,10.1138,64.5
qwen3-8b-bf16,Qwen/Qwen3-8B,0.8,10.7355,68.4
qwen3-8b-bf16,Qwen/Qwen3-8B,0.9,13.5362,72.3
